"code","title","category","difficulty","target_service","target_endpoint","vulnerability_type","attack_vector","prerequisite","first_command","exploit_path_summary","flag_source","preconditions_audit","precondition_status","audit_method","audited_on","solvability_status","evidence_path","validation_notes"
"3DS-001","Le Numero Magique","3DS_BYPASS","BEGINNER","sim-acs","POST http://acs-simulator:8013/acs/verify-otp","Static OTP","Hardcoded credential","none","curl -s -X POST http://acs-simulator:8013/acs/challenge -H ""Content-Type: application/json"" -d ""{\\""pan\\"":\\""4111111111111111\\"",\\""amount\\"":500,\\""currency\\"":\\""EUR\\"",\\""merchantName\\"":\\""TestShop\\""}"" | jq .","Entry=POST http://acs-simulator:8013/acs/verify-otp; exploit=Static OTP; first_step=curl -s -X POST http://acs-simulator:8013/acs/challenge -H ""Content-Type: application/json"" -d ""{\\""pan\\"":\\""4111111111111111\\"",\\""amount\\"":500,\\""currency\\"":\\""EUR\\"",\\""merchantName\\"":\\""TestShop\\""}"" | jq .","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=sim-acs; endpoint=POST http://acs-simulator:8013/acs/verify-otp; prerequisite=none; first_step=curl -s -X POST http://acs-simulator:8013/acs/challenge -H ""Content-Type: application/json"" -d ""{\\""pan\\"":\\""4111111111111111\\"",\\""amount\\"":500,\\""currency\\"":\\""EUR\\"",\\""merchantName\\"":\\""TestShop\\""}"" | jq .","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/threedsChallenges.ts","static precondition audit complete; runtime validation pending"
"3DS-002","Le Mot de Passe","3DS_BYPASS","INTERMEDIATE","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/threedsChallenges.ts","static precondition audit complete; runtime validation pending"
"3DS-003","Juste en Dessous","3DS_BYPASS","INTERMEDIATE","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/threedsChallenges.ts","static precondition audit complete; runtime validation pending"
"ADV-FRAUD-001","Le Bot de Testing","ADVANCED_FRAUD","INTERMEDIATE","sim-network-switch","POST http://sim-network-switch:8004/transaction/authorize","No card testing detection","Automated micro-authorization flood","none","guided-analysis","Entry=POST http://sim-network-switch:8004/transaction/authorize; exploit=No card testing detection; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=sim-network-switch; endpoint=POST http://sim-network-switch:8004/transaction/authorize; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/advancedChallenges.ts","static precondition audit complete; runtime validation pending"
"ADV-FRAUD-002","Le Split Payment","ADVANCED_FRAUD","ADVANCED","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/advancedChallenges.ts","static precondition audit complete; runtime validation pending"
"ADV-FRAUD-003","Le Compte Jetable","ADVANCED_FRAUD","ADVANCED","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/advancedChallenges.ts","static precondition audit complete; runtime validation pending"
"ADV-FRAUD-004","L Evasion ML","ADVANCED_FRAUD","EXPERT","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/advancedChallenges.ts","static precondition audit complete; runtime validation pending"
"BOSS-001","Full Chain POS->Issuer","BOSS","EXPERT","sim-network-switch","Multiple services","Full exploit chain","Multi-stage attack","none","guided-analysis","Entry=Multiple services; exploit=Full exploit chain; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=sim-network-switch; endpoint=Multiple services; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/advancedChallenges.ts","static precondition audit complete; runtime validation pending"
"BOSS-002","Le Braquage 3DS","BOSS","EXPERT","sim-acs","Multiple endpoints","3DS full bypass chain","Multi-vector 3DS evasion","none","guided-analysis","Entry=Multiple endpoints; exploit=3DS full bypass chain; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=sim-acs; endpoint=Multiple endpoints; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/advancedChallenges.ts","static precondition audit complete; runtime validation pending"
"BOSS-003","L Inside Job","BOSS","EXPERT","api-gateway","Multiple services","Insider threat chain","Privilege escalation chain","none","guided-analysis","Entry=Multiple services; exploit=Insider threat chain; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=api-gateway; endpoint=Multiple services; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/advancedChallenges.ts","static precondition audit complete; runtime validation pending"
"BOSS-004","Le Perfect Heist","BOSS","EXPERT","sim-network-switch","Multiple services","Full heist chain","Complete attack lifecycle","none","guided-analysis","Entry=Multiple services; exploit=Full heist chain; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=sim-network-switch; endpoint=Multiple services; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/advancedChallenges.ts","static precondition audit complete; runtime validation pending"
"CRYPTO-001","Token Predictible","CRYPTO_WEAKNESS","BEGINNER","api-gateway","POST http://api-gateway:8000/auth/session-token","Weak token generation","Pattern analysis","none","for i in $(seq 1 10); do curl -s -X POST http://api-gateway:8000/auth/session-token | jq -r .token; done","Entry=POST http://api-gateway:8000/auth/session-token; exploit=Weak token generation; first_step=for i in $(seq 1 10); do curl -s -X POST http://api-gateway:8000/auth/session-token | jq -r .token; done","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=api-gateway; endpoint=POST http://api-gateway:8000/auth/session-token; prerequisite=none; first_step=for i in $(seq 1 10); do curl -s -X POST http://api-gateway:8000/auth/session-token | jq -r .token; done","STATIC_REVIEWED","static-content-review","2026-02-22","E2E_OK","backend/api-gateway/src/data/ctf/otherChallenges.ts","e2e validated on 2026-02-22"
"CRYPTO-002","Auth Code Guessable","CRYPTO_WEAKNESS","ADVANCED","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/otherChallenges.ts","static precondition audit complete; runtime validation pending"
"EMV-001","Le Clone Magnetique","EMV_CLONING","BEGINNER","sim-network-switch","POST http://sim-network-switch:8004/transaction/authorize","Magstripe fallback accepted","Track2 cloning + POS entry mode manipulation","none","guided-analysis","Entry=POST http://sim-network-switch:8004/transaction/authorize; exploit=Magstripe fallback accepted; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=sim-network-switch; endpoint=POST http://sim-network-switch:8004/transaction/authorize; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/emvChallenges.ts","static precondition audit complete; runtime validation pending"
"EMV-002","Le Relais Invisible","EMV_CLONING","INTERMEDIATE","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/emvChallenges.ts","static precondition audit complete; runtime validation pending"
"EMV-003","Le Cryptogramme Rejouable","EMV_CLONING","ADVANCED","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/emvChallenges.ts","static precondition audit complete; runtime validation pending"
"EMV-004","Le Fallback Force","EMV_CLONING","INTERMEDIATE","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/emvChallenges.ts","static precondition audit complete; runtime validation pending"
"EMV-005","Le Pre-Play","EMV_CLONING","EXPERT","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/emvChallenges.ts","static precondition audit complete; runtime validation pending"
"FRAUD-001","Quand la Fraude Dort","FRAUD_CNP","INTERMEDIATE","sim-auth-engine","POST http://sim-fraud-detection:8007/fraud/check","Fail-open on error","Dependency failure exploitation","none","curl -s -X POST http://sim-fraud-detection:8007/fraud/check -H ""Content-Type: application/json"" -d ""{\\""pan\\"":\\""4111111111111111\\"",\\""amount\\"":5000,\\""country\\"":\\""NG\\"",\\""mcc\\"":\\""7995\\""}"" | jq .","Entry=POST http://sim-fraud-detection:8007/fraud/check; exploit=Fail-open on error; first_step=curl -s -X POST http://sim-fraud-detection:8007/fraud/check -H ""Content-Type: application/json"" -d ""{\\""pan\\"":\\""4111111111111111\\"",\\""amount\\"":5000,\\""country\\"":\\""NG\\"",\\""mcc\\"":\\""7995\\""}"" | jq .","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=sim-auth-engine; endpoint=POST http://sim-fraud-detection:8007/fraud/check; prerequisite=none; first_step=curl -s -X POST http://sim-fraud-detection:8007/fraud/check -H ""Content-Type: application/json"" -d ""{\\""pan\\"":\\""4111111111111111\\"",\\""amount\\"":5000,\\""country\\"":\\""NG\\"",\\""mcc\\"":\\""7995\\""}"" | jq .","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/fraudChallenges.ts","static precondition audit complete; runtime validation pending"
"FRAUD-002","Score Optimise","FRAUD_CNP","ADVANCED","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/fraudChallenges.ts","static precondition audit complete; runtime validation pending"
"HSM-001","Le Coffre Ouvert","HSM_ATTACK","BEGINNER","hsm-simulator","GET http://hsm-simulator:8011/hsm/keys","Broken access control","Endpoint enumeration","none","curl -s http://hsm-simulator:8011/hsm/status","Entry=GET http://hsm-simulator:8011/hsm/keys; exploit=Broken access control; first_step=curl -s http://hsm-simulator:8011/hsm/status","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=hsm-simulator; endpoint=GET http://hsm-simulator:8011/hsm/keys; prerequisite=none; first_step=curl -s http://hsm-simulator:8011/hsm/status","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/hsmChallenges.ts","static precondition audit complete; runtime validation pending"
"HSM-002","Cles Previsibles","HSM_ATTACK","INTERMEDIATE","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/hsmChallenges.ts","static precondition audit complete; runtime validation pending"
"HSM-003","Fuite dans les Logs","HSM_ATTACK","INTERMEDIATE","see-guided-steps","see-guided-steps","challenge-specific","challenge-specific","none","guided-analysis","Entry=see-guided-steps; exploit=challenge-specific; first_step=guided-analysis","dynamic:backend/api-gateway/src/services/ctfFlag.service.ts","service=see-guided-steps; endpoint=see-guided-steps; prerequisite=none; first_step=guided-analysis","STATIC_REVIEWED","static-content-review","2026-02-22","UNVERIFIED","backend/api-gateway/src/data/ctf/hsmChallenges.ts","static precondition audit complete; runtime validation pending"
